provider,transcript,wer,semantic_wer,entity_accuracy,latency,success,error
assemblyai,This is actually my first time bringing my vehicle to Sewell. A friend of mine recommended you guys because he said the customer service was fantastic.,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1111.900699997932, ""final_ms"": 0, ""total_ms"": 13020.115100000112}",True,
assemblyai,I don't have an account with you guys yet. So I think we might need to set one up from scratch. I just bought the car used from a private seller last week.,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1211.8359000014607, ""final_ms"": 0, ""total_ms"": 15103.76649999671}",True,
assemblyai,Sure. My name is Sarah Connor. That's Sarah with an H. Connor is C-O-N-N-O-R. I should be in your system from about 3 years ago.,0.03125,0.03125,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1182.1988000010606, ""final_ms"": 0, ""total_ms"": 16307.177800001227}",True,
assemblyai,"I'm calling about my account. But it's actually under my husband's name. It's under Michael Scott, and the phone number on file should",0.1,0.1,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1216.9319999993604, ""final_ms"": 0, ""total_ms"": 13915.964800002257}",True,
assemblyai,"Actually, I recently moved across the state. So my preferred location is Dallas now instead of Austin. Could you go ahead and update that on my profile?",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1195.9188000000722, ""final_ms"": 0, ""total_ms"": 15928.861100001086}",True,
assemblyai,"I really need to schedule a synthetic oil change and a tire rotation for my 2022 Lexus RX. It just hit 30,000 miles yesterday.",0.0,0.0,"{""total"": 4, ""matched"": 3, ""score"": 75.0, ""missing"": [""twenty twenty two""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 2081.3956999991206, ""final_ms"": 0, ""total_ms"": 16027.596100000665}",True,
assemblyai,I'd like to book some routine maintenance for my Ford. It's been making this really weird squeaking noise. Every time I apply the brakes going downhill.,0.0,0.0,"{""total"": 2, ""matched"": 2, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1178.3630999998422, ""final_ms"": 0, ""total_ms"": 14521.032199998444}",True,
assemblyai,"The vehicle in question is a 2016 diesel model. It's an F-250 Super Duty, and it takes about 13 quarts of oil.",0.0,0.0,"{""total"": 1, ""matched"": 0, ""score"": 0.0, ""missing"": [""two thousand sixteen""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1089.936000000307, ""final_ms"": 0, ""total_ms"": 12713.821299999836}",True,
assemblyai,"I was thinking, I'll bring it in this Friday at 10 AM. If that time is completely booked up, I can probably do Thursday afternoon around 3 instead.",0.0,0.0,"{""total"": 1, ""matched"": 0, ""score"": 0.0, ""missing"": [""this Friday at ten AM""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1273.9518000016687, ""final_ms"": 0, ""total_ms"": 17121.021499999188}",True,
assemblyai,Yes. I will definitely need a loaner vehicle. My wife took our other car out of town for the weekend. So I have absolutely no other way to get to the office.,0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1217.0188000018243, ""final_ms"": 0, ""total_ms"": 15312.41510000109}",True,
assemblyai,"Actually, if it's only going to take an hour or two, I'll just wait at the dealership. I brought my laptop so I can just catch up on some emails. In the lounge.",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1379.6908000003896, ""final_ms"": 0, ""total_ms"": 15409.235099999933}",True,
assemblyai,Something just came up at work. So can we change my appointment to 2 PM? My morning meeting got pushed back. And now I have a massive conflict.,0.0,0.0,"{""total"": 1, ""matched"": 0, ""score"": 0.0, ""missing"": [""two PM""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1183.4000000017113, ""final_ms"": 0, ""total_ms"": 13822.95779999913}",True,
assemblyai,I'm going to have to push my service back to next Tuesday. My kids got sick and I can't leave the house today. Does next Tuesday morning work for you guys?,0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1242.4351000008755, ""final_ms"": 0, ""total_ms"": 14505.496599998878}",True,
assemblyai,Do you guys happen to have a collision center on site? I was rear-ended at a stoplight yesterday. And the bumper is completely dented in.,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1186.898799998744, ""final_ms"": 0, ""total_ms"": 13207.437199998822}",True,
assemblyai,I was looking online. And couldn't find the answer to this. But what exactly is your policy on parts warranties? Do they cover labor costs if the part fails prematurely?,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1218.0549999975483, ""final_ms"": 0, ""total_ms"": 16226.742700000614}",True,
assemblyai,Can you tell me a little bit more about the Sewall difference? I hear the commercials on the radio all the time. But I'm not really sure what makes it so special.,0.030303030303030304,0.030303030303030304,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1192.689400002564, ""final_ms"": 0, ""total_ms"": 15022.031900000002}",True,
assemblyai,"Where exactly are you guys located? I know you have a few different branches around the city, but I'm looking for the one closest to the downtown area.",0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1114.7840000012366, ""final_ms"": 0, ""total_ms"": 13615.683899999567}",True,
assemblyai,Listen. I've been talking to this robot for 5 minutes. And I just wanna speak to a real person. Can you please transfer me to a human representative?,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1207.8756999981124, ""final_ms"": 0, ""total_ms"": 15120.460199999798}",True,
assemblyai,No. I think that just about covers everything I needed to know. That's all for today. Thanks so much for all your help. I really appreciate it.,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1486.62609999883, ""final_ms"": 0, ""total_ms"": 14614.854799998284}",True,
elevenlabs,Hello there. I was hoping you could help me out with a couple of questions I have about your services. I've been trying to reach someone all morning,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1607.5682000009692, ""final_ms"": 0, ""total_ms"": 13010.280800001055}",True,
elevenlabs,This is actually my first time bringing my vehicle to Sewell. A friend of mine recommended you guys because he said the customer service was fantastic.,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1330.8254000003217, ""final_ms"": 0, ""total_ms"": 13345.710300000064}",True,
elevenlabs,"I don't have an account with you guys yet, so I think we might need to set one up from scratch. I just bought the car used from a private seller last week",0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1516.215799998463, ""final_ms"": 0, ""total_ms"": 15621.699800001807}",True,
elevenlabs,"Sure. My name is Sarah Connor. That's Sarah with an H, and Connor is C-O-N-N-O-R. I should be in your system from about three years ago",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1680.6075000022247, ""final_ms"": 0, ""total_ms"": 16981.913599996915}",True,
elevenlabs,"I'm calling about my account, but it's actually under my husband's name. It's under Michael Scott, and the phone number on file should be his cell",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1603.537699997105, ""final_ms"": 0, ""total_ms"": 14504.236000000674}",True,
elevenlabs,"Actually, I recently moved across the state, so my preferred location is Dallas now instead of Austin. Could you go ahead and update that on my profile?",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1731.3016000007337, ""final_ms"": 0, ""total_ms"": 16646.53729999918}",True,
elevenlabs,"I really need to schedule a synthetic oil change and a tire rotation for my 2022 Lexus RX. It just hit 30,000 miles yesterday",0.0,0.0,"{""total"": 4, ""matched"": 3, ""score"": 75.0, ""missing"": [""twenty twenty two""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1759.098599999561, ""final_ms"": 0, ""total_ms"": 16771.817400000145}",True,
elevenlabs,I'd like to book some routine maintenance for my Ford. It's been making this really weird squeaking noise every time I apply the brakes going downhill,0.0,0.0,"{""total"": 2, ""matched"": 2, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1612.4423000001116, ""final_ms"": 0, ""total_ms"": 15122.568200000387}",True,
elevenlabs,"The vehicle in question is a two thousand sixteen diesel model. It's an F-two fifty Super Duty, and it takes about thirteen quarts of oil",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1729.9386000013328, ""final_ms"": 0, ""total_ms"": 13437.592099999165}",True,
elevenlabs,"I was thinking I'll bring it in this Friday at 10:00 AM. If that time is completely booked up, I can probably do Thursday afternoon around 3:00 instead.",0.06896551724137931,0.06896551724137931,"{""total"": 1, ""matched"": 0, ""score"": 0.0, ""missing"": [""this Friday at ten AM""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1735.7125000016822, ""final_ms"": 0, ""total_ms"": 17841.846500003157}",True,
elevenlabs,"Yes, I will definitely need a loaner vehicle. My wife took our other car out of town for the weekend, so I have absolutely no other way to get to the office",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1623.8487999980862, ""final_ms"": 0, ""total_ms"": 15941.913700000441}",True,
elevenlabs,"Actually, if it's only going to take an hour or two, I'll just wait at the dealership. I brought my laptop so I can just catch up on some emails in the lounge",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1339.9771000003966, ""final_ms"": 0, ""total_ms"": 15741.280499998538}",True,
elevenlabs,"Something just came up at work, so can we change my appointment to 2:00 PM? My morning meeting got pushed back, and now I have a massive conflict.",0.03571428571428571,0.03571428571428571,"{""total"": 1, ""matched"": 0, ""score"": 0.0, ""missing"": [""two PM""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1135.0493999998434, ""final_ms"": 0, ""total_ms"": 13942.736400000285}",True,
elevenlabs,"I'm going to have to push my service back to next Tuesday. My kids got sick, and I can't leave the house today. Does next Tuesday morning work for you guys?",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1435.5069000012008, ""final_ms"": 0, ""total_ms"": 14943.641599998955}",True,
elevenlabs,Do you guys happen to have a collision center on site? I was rear-ended at a stoplight yesterday and the bumper is completely dented in,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1358.0517999980657, ""final_ms"": 0, ""total_ms"": 13570.016800000303}",True,
elevenlabs,"I was looking online and couldn't find the answer to this, but what exactly is your policy on parts warranties? Do they cover labor costs if the part fails prematurely?",0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 2053.051000002597, ""final_ms"": 0, ""total_ms"": 17268.93689999997}",True,
elevenlabs,"Can you tell me a little bit more about the Sewell Difference? I hear the commercials on the radio all the time, but I'm not really sure what makes it so special.",0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1212.1430999977747, ""final_ms"": 0, ""total_ms"": 15222.739200002252}",True,
elevenlabs,"Where exactly are you guys located? I know you have a few different branches around the city, but I'm looking for the one closest to the downtown area.",0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1796.6721000011603, ""final_ms"": 0, ""total_ms"": 14404.700200000661}",True,
elevenlabs,"Listen, I've been talking to this robot for five minutes, and I just wanna speak to a real person. Can you please transfer me to a human representative?",0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1151.0497000017494, ""final_ms"": 0, ""total_ms"": 15261.885900003108}",True,
elevenlabs,"No, I think that just about covers everything I needed to know. That's all for today. Thanks so much for all your help. I really appreciate it",0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1477.277400001185, ""final_ms"": 0, ""total_ms"": 15093.699400000332}",True,
speechmatics,Hello there . I was hoping you could help me out with a couple of questions I have about your services . I've been trying to reach someone all morning,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1094.4791000001715, ""final_ms"": 0, ""total_ms"": 12413.931999999477}",True,
speechmatics,This is actually my first time bringing my vehicle to school . A friend of mine recommended you guys because he said the customer service was fantastic .,0.038461538461538464,0.038461538461538464,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 974.6218000000226, ""final_ms"": 0, ""total_ms"": 13028.547900001286}",True,
speechmatics,"I don't have an account with you guys yet , so I think we might need to set one up from scratch . I just bought the car used from a private seller last week",0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 957.151900001918, ""final_ms"": 0, ""total_ms"": 15107.64620000191}",True,
speechmatics,"Sure . My name is Sarah Connor . That's Sarah with an H , and Connor is CONOR . I should be in your system from about three years ago",0.1875,0.1875,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1265.0661000006949, ""final_ms"": 0, ""total_ms"": 16323.69800000015}",True,
speechmatics,"I'm calling about my account , but it's actually under my husband's name . It's under Michael Scott . And the phone number on file should be his cell",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1062.803000000713, ""final_ms"": 0, ""total_ms"": 13924.642800000584}",True,
speechmatics,"Actually , I recently moved across the state , so my preferred location is Dallas now instead of Austin . Could you go ahead and update that on my profile ?",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1309.4488000024285, ""final_ms"": 0, ""total_ms"": 15902.970999999525}",True,
speechmatics,"I really need to schedule a synthetic oil change and a tire rotation for my 2022 Lexus . It just hit 30,000 miles yesterday",0.041666666666666664,0.041666666666666664,"{""total"": 4, ""matched"": 2, ""score"": 50.0, ""missing"": [""twenty twenty two"", ""RX""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 2391.6308999978355, ""final_ms"": 0, ""total_ms"": 16017.527500000142}",True,
speechmatics,I'd like to book some routine maintenance for my Ford . It's been making this really weird squeaking noise . Every time I apply the brakes going down,0.03571428571428571,0.03571428571428571,"{""total"": 2, ""matched"": 2, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 968.2740999996895, ""final_ms"": 0, ""total_ms"": 14504.879399999481}",True,
speechmatics,The vehicle in question is a 2016 diesel model . It's an F-250 Super Duty and it takes about 13 quarts of oil,0.0,0.0,"{""total"": 1, ""matched"": 0, ""score"": 0.0, ""missing"": [""two thousand sixteen""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1063.6850999981107, ""final_ms"": 0, ""total_ms"": 12711.488899996766}",True,
speechmatics,"I was thinking , I'll bring it in this Friday at 10 a.m. if that time is completely booked up . I can probably do Thursday afternoon around three instead",0.06896551724137931,0.06896551724137931,"{""total"": 1, ""matched"": 0, ""score"": 0.0, ""missing"": [""this Friday at ten AM""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 986.9565000008151, ""final_ms"": 0, ""total_ms"": 17112.925400000677}",True,
speechmatics,"Yes , I will definitely need a loner vehicle . My wife took our other car out of town for the weekend , so I have absolutely no other way to get to the office",0.03125,0.03125,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 995.1365999986592, ""final_ms"": 0, ""total_ms"": 15323.870799998986}",True,
speechmatics,"Actually , if it's only going to take an hour or two , I'll just wait at the dealership . I brought my laptop so I can just catch up on some emails in the lounge",0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 2395.0473999975657, ""final_ms"": 0, ""total_ms"": 15411.6772999987}",True,
speechmatics,"Something just came up at work . So can we change my appointment to 2 p.m. ? My morning meeting got pushed back , and now I have a massive conflict",0.07142857142857142,0.07142857142857142,"{""total"": 1, ""matched"": 0, ""score"": 0.0, ""missing"": [""two PM""]}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1275.6215000008524, ""final_ms"": 0, ""total_ms"": 13822.679900000367}",True,
speechmatics,I'm going to have to push my service back to next Tuesday . My kids got sick and I can't leave the house today . Does next Tuesday morning work for you guys,0.0,0.0,"{""total"": 1, ""matched"": 1, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1260.999800000718, ""final_ms"": 0, ""total_ms"": 14513.135400000465}",True,
speechmatics,Do you guys happen to have a collision center on site ? I was rear ended at a stoplight yesterday and the bumper is completely dented in,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1210.072100002435, ""final_ms"": 0, ""total_ms"": 13230.905799999164}",True,
speechmatics,I was looking online and couldn't find the answer to this . But what exactly is your policy on parts warranties ? Do they cover labor costs ? If the part fails prematurely,0.0,0.0,"{""total"": 0, ""matched"": 0, ""score"": 100.0, ""missing"": []}","{""connect_ms"": 0, ""first_partial_ms"": 0, ""ttfs_ms"": 1262.7343999993172, ""final_ms"": 0, ""total_ms"": 16207.349799999065}",True,
